Area,Year,Food Inflation Rate,Raw GDP,GDP Growth Rate,Item,Item Price Per Tonne,Overall Inflation Rate
Albania,2013,4.214607333333333,12776.280738,3.705432,Raw milk of sheep,785.5,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Rye,454.2,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Shorn wool, greasy, including fleece-washed shorn wool",530.0,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Spinach,899.0,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Sunflower seed,1279.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Tangerines, mandarins, clementines",738.2,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Tomatoes,738.2,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Unmanufactured tobacco,4097.7,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Watermelons,208.2,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Wheat,406.9,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Apples,474.8,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Apricots,758.4,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Barley,431.4,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Beans, dry",2059.6,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Broad beans and horse beans, green",907.0,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Cabbages,214.9,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Cantaloupes and other melons,450.3,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Carrots and turnips,446.4,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Cauliflowers and broccoli,937.0,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Cherries,1358.9,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Chestnuts, in shell",1615.5,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",303.4,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Cucumbers and gherkins,626.5,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Dates,402.0,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Eggplants (aubergines),617.3,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Figs,676.3,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Grapes,870.3,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Green garlic,1442.6,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Hen eggs in shell, fresh",3143.7,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Leeks and other alliaceous vegetables,249.9,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Lemons and limes,730.0,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Lettuce and chicory,582.3,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Maize (corn),353.9,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Meat of cattle with the bone, fresh or chilled (biological)",3419.3,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Meat of chickens, fresh or chilled (biological)",4296.2,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Meat of goat, fresh or chilled (biological)",2427.0,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Meat of pig with the bone, fresh or chilled (biological)",3125.4,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Meat of sheep, fresh or chilled (biological)",2707.5,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Meat of turkeys, fresh or chilled (biological)",5915.8,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Natural honey,11017.1,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Oats,373.7,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,Olives,1705.7,3.2
Albania,2014,2.2123846666666664,13228.240079,3.537487,"Onions and shallots, dry (excluding dehydrated)",384.7,3.2
