Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Sweden,SWE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0.551147221878011,0.874983124573475,6.50278131969797,5.77504269878206,5.46202917252947,4.43990754649417,4.08383081844836,2.02300035128467,-6.25817408381538,12.8222498792215,9.66468055111953
Italy,ITA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.83302011782143,0.247798194830565,2.5405111041124,3.98565683154179,2.33805004552821,5.36754514150547,2.1295915598849,1.22605710007345,-13.7093790297645,14.0855222948471,9.87202560949538
Italy,ITA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-8.16061116786109,-2.69533401447968,3.61331845119837,6.32357907628361,3.92603643168576,5.81635424487101,2.96301421719517,-1.12535620147121,-12.4805686437407,15.9513155276099,12.8807757054004
Iceland,ISL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.59810929017792,6.80481012536897,3.8886644805856,8.94779484867129,10.9512643372162,5.07969667914701,0.422232511817057,-5.34923456229886,-30.6876614553334,14.7635164787262,22.1215990671617
Iceland,ISL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,4.60371073975749,0.105862029284481,10.0202775121112,13.5418964667844,14.6029663401965,11.8305898737312,-0.907562934775044,-9.08832231667024,-20.6353742081164,20.5442851264881,20.1492448926872
Ireland,IRL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-0.822203010534196,5.85430854638122,14.9214207529198,41.0219478252143,4.4223319513244,12.150612936879,5.38125816485915,10.4808517538025,13.8089774299118,14.0646815870258,13.4940311642314
Ireland,IRL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-1.01492653843532,2.89707723516872,14.9061114076366,34.282468753939,16.8011437973107,5.23040836101332,-1.62151493193586,40.6245815110402,0.0170720152997887,-8.74754674174399,16.0497073536515
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,,
